Date;Time;Name;Value;Machine;Shift
01.02.2025;00:00;Material_Jam;1.0;Machine 2;Night Shift
01.02.2025;00:01;Material_Jam;1.0;Machine 2;Night Shift
01.02.2025;00:02;Material_Jam;1.0;Machine 2;Night Shift
01.02.2025;00:03;Material_Jam;1.0;Machine 2;Night Shift
01.02.2025;00:04;Material_Jam;1.0;Machine 2;Night Shift
01.02.2025;00:05;Material_Jam;1.0;Machine 2;Night Shift
01.02.2025;00:09;Material_Jam;1.0;Machine 3;Night Shift
01.02.2025;00:10;Material_Jam;1.0;Machine 3;Night Shift
01.02.2025;00:11;Material_Jam;1.0;Machine 3;Night Shift
01.02.2025;00:12;Material_Jam;1.0;Machine 3;Night Shift
01.02.2025;00:13;Emergency_Stop_Triggered;1.0;Machine 2;Night Shift
01.02.2025;00:13;Material_Jam;1.0;Machine 3;Night Shift
01.02.2025;00:14;Emergency_Stop_Triggered;1.0;Machine 2;Night Shift
01.02.2025;00:14;Material_Jam;1.0;Machine 3;Night Shift
01.02.2025;00:15;Emergency_Stop_Triggered;1.0;Machine 2;Night Shift
01.02.2025;00:15;Material_Jam;1.0;Machine 3;Night Shift
01.02.2025;00:16;Emergency_Stop_Triggered;1.0;Machine 2;Night Shift
01.02.2025;00:16;Material_Jam;1.0;Machine 3;Night Shift
01.02.2025;00:17;Emergency_Stop_Triggered;1.0;Machine 2;Night Shift
01.02.2025;00:17;Material_Jam;1.0;Machine 3;Night Shift
01.02.2025;00:18;Emergency_Stop_Triggered;1.0;Machine 2;Night Shift
01.02.2025;00:18;Material_Jam;1.0;Machine 3;Night Shift
01.02.2025;00:19;Emergency_Stop_Triggered;1.0;Machine 2;Night Shift
01.02.2025;00:19;Material_Jam;1.0;Machine 3;Night Shift
01.02.2025;00:20;Emergency_Stop_Triggered;1.0;Machine 2;Night Shift
01.02.2025;00:20;Material_Jam;1.0;Machine 3;Night Shift
01.02.2025;00:20;Sensor_Error;1.0;Machine 1;Night Shift
01.02.2025;00:21;Emergency_Stop_Triggered;1.0;Machine 2;Night Shift
01.02.2025;00:21;Sensor_Error;1.0;Machine 1;Night Shift
01.02.2025;00:22;Emergency_Stop_Triggered;1.0;Machine 2;Night Shift
01.02.2025;00:22;Sensor_Error;1.0;Machine 1;Night Shift
01.02.2025;00:23;Emergency_Stop_Triggered;1.0;Machine 2;Night Shift
01.02.2025;00:23;Sensor_Error;1.0;Machine 1;Night Shift
01.02.2025;00:24;Emergency_Stop_Triggered;1.0;Machine 2;Night Shift
01.02.2025;00:24;Sensor_Error;1.0;Machine 1;Night Shift
01.02.2025;00:25;Emergency_Stop_Triggered;1.0;Machine 2;Night Shift
01.02.2025;00:25;Sensor_Error;1.0;Machine 1;Night Shift
01.02.2025;00:26;Emergency_Stop_Triggered;1.0;Machine 2;Night Shift
01.02.2025;00:26;Sensor_Error;1.0;Machine 1;Night Shift
01.02.2025;00:27;Emergency_Stop_Triggered;1.0;Machine 2;Night Shift
01.02.2025;00:27;Sensor_Error;1.0;Machine 1;Night Shift
01.02.2025;00:28;Emergency_Stop_Triggered;1.0;Machine 2;Night Shift
01.02.2025;00:28;Sensor_Error;1.0;Machine 1;Night Shift
01.02.2025;00:29;Emergency_Stop_Triggered;1.0;Machine 2;Night Shift
01.02.2025;00:29;Sensor_Error;1.0;Machine 1;Night Shift
01.02.2025;00:30;Emergency_Stop_Triggered;1.0;Machine 2;Night Shift
01.02.2025;00:30;Sensor_Error;1.0;Machine 1;Night Shift
01.02.2025;00:31;Emergency_Stop_Triggered;1.0;Machine 2;Night Shift
01.02.2025;00:31;Sensor_Error;1.0;Machine 1;Night Shift
01.02.2025;00:32;Sensor_Error;1.0;Machine 1;Night Shift
01.02.2025;00:33;Pressure_Drop_in_Hydraulics;1.0;Machine 2;Night Shift
01.02.2025;00:33;Sensor_Error;1.0;Machine 1;Night Shift
01.02.2025;00:34;Pressure_Drop_in_Hydraulics;1.0;Machine 2;Night Shift
01.02.2025;00:34;Sensor_Error;1.0;Machine 1;Night Shift
01.02.2025;00:35;Pressure_Drop_in_Hydraulics;1.0;Machine 2;Night Shift
01.02.2025;00:35;Sensor_Error;1.0;Machine 1;Night Shift
01.02.2025;00:36;Pressure_Drop_in_Hydraulics;1.0;Machine 2;Night Shift
01.02.2025;00:37;Pressure_Drop_in_Hydraulics;1.0;Machine 2;Night Shift
01.02.2025;00:38;Pressure_Drop_in_Hydraulics;1.0;Machine 2;Night Shift
01.02.2025;00:39;Pressure_Drop_in_Hydraulics;1.0;Machine 2;Night Shift
01.02.2025;00:40;Pressure_Drop_in_Hydraulics;1.0;Machine 2;Night Shift
01.02.2025;00:41;Emergency_Stop_Triggered;1.0;Machine 3;Night Shift
01.02.2025;00:41;Pressure_Drop_in_Hydraulics;1.0;Machine 2;Night Shift
01.02.2025;00:42;Emergency_Stop_Triggered;1.0;Machine 3;Night Shift
01.02.2025;00:42;Pressure_Drop_in_Hydraulics;1.0;Machine 2;Night Shift
01.02.2025;00:43;Emergency_Stop_Triggered;1.0;Machine 3;Night Shift
